milliseconds,paper,gear,position
4591,1,1,68569
4601,1,1,68811
4611,1,1,69030
4621,1,1,69272
4631,1,1,69514
4641,1,1,69755
4651,1,1,69973
4661,1,1,70214
4671,1,1,70455
4681,1,1,70697
4691,1,1,70938
4701,1,1,71155
4711,1,1,71397
4721,1,1,71638
4731,1,1,71880
4741,1,1,72098
4751,1,1,72339
4761,1,1,72580
4771,1,1,72822
4781,1,1,73040
4791,1,1,73282
4801,1,1,73523
4811,1,1,73767
4822,1,1,74008
4831,1,1,74225
4841,1,1,74465
4851,1,1,74707
4861,1,1,74948
4871,1,1,75165
4881,1,1,75406
4891,1,1,75649
4901,1,1,75890
4911,1,1,76108
4921,1,1,76349
4931,1,1,76591
4941,1,1,76833
4951,1,1,77050
4961,1,1,77291
4971,1,1,77534
4981,1,1,77777
4992,1,1,78018
5001,1,1,78234
5011,1,1,78476
5021,1,1,78718
5031,1,1,78959
5041,1,1,79176
5051,1,1,79417
5061,1,1,79659
5071,1,1,79901
5081,1,1,80118
5091,1,1,80360
5101,1,1,80602
5111,1,1,80843
5121,1,1,81060
5131,1,1,81301
5141,1,1,81543
5151,1,1,81785
5161,1,1,82027
5171,1,1,82245
5181,1,1,82487
5191,1,1,82728
5201,1,1,82968
5211,1,1,83186
5221,1,1,83428
5231,1,1,83669
5241,1,1,83911
5251,1,1,84128
5261,1,1,84370
5271,1,1,84611
5281,1,1,84853
5291,1,1,85070
5301,1,1,85312
5311,1,1,85553
5321,1,1,85795
5331,1,1,86037
5341,1,1,86256
5351,1,1,86497
5361,1,1,86738
5371,1,1,86978
5381,1,1,87197
5391,1,1,87438
5401,1,1,87680
5411,1,1,87921
5421,1,1,88139
5431,1,1,88380
5441,1,1,88622
5451,1,1,88862
5462,1,1,89105
5471,1,1,89322
5481,1,1,89563
5491,1,1,89805
5501,1,1,90048
5511,1,1,90265
5521,1,1,90507
5531,1,1,90749
5541,1,1,90991
5551,1,1,91208
5561,1,1,91448
5571,1,1,91690
5581,1,1,91932
5591,1,1,92149
5601,1,1,92389
5611,1,1,92631
5621,1,1,92874
5632,1,1,93115
5641,1,1,93333
5651,1,1,93574
5661,1,1,93816
5671,1,1,94058
5681,1,1,94276
5691,1,1,94517
5701,1,1,94759
5711,1,1,95001
5721,1,1,95217
5731,1,1,95458
5741,1,1,95699
5751,1,1,95941
5761,1,1,96158
5771,1,1,96400
5781,1,1,96642
5791,1,1,96884
5801,1,1,97125
5811,1,1,97342
5821,1,1,97584
5831,1,1,97826
5841,1,1,98069
5851,1,1,98285
5861,1,1,98526
5871,1,1,98770
5881,1,1,99013
5891,1,1,99229
5901,1,1,99469
5911,1,1,99710
5921,1,1,99951
5931,1,1,100169
5941,1,1,100410
5951,1,1,100652
5961,1,1,100894
5971,1,1,101135
5981,1,1,101352
5991,1,1,101595
6001,1,1,101836
6011,1,1,102078
6021,1,1,102295
6031,1,1,102538
6041,1,1,102780
6051,1,1,103021
6061,1,1,103238
6071,1,1,103481
6081,1,1,103722
6091,1,1,103962
6102,1,1,104203
6111,1,1,104422
6121,1,1,104663
6131,1,1,104904
6141,1,1,105145
6151,1,1,105363
6161,1,1,105605
6171,1,1,105847
6181,1,1,106088
6191,1,1,106305
6201,1,1,106547
6211,1,1,106789
6221,1,1,107030
6231,1,1,107250
6241,1,1,107491
6251,1,1,107732
6261,1,1,107972
6272,1,1,108214
6281,1,1,108431
6291,1,1,108672
6301,1,1,108914
6311,1,1,109156
6321,1,1,109374
6331,1,1,109615
6341,1,1,109856
6351,1,1,110098
6361,1,1,110316
6371,1,1,110557
6381,1,1,110799
6391,1,1,111041
6401,1,1,111260
6411,1,1,111502
6421,1,1,111743
6431,1,1,111984
6441,1,1,112225
6451,1,1,112441
6461,1,1,112682
6471,1,1,112924
6481,1,1,113165
6491,1,1,113383
6501,1,1,113625
6511,1,1,113866
6521,1,1,114109
6531,1,1,114326
6541,1,1,114567
6551,1,1,114809
6561,1,1,115052
6571,1,1,115269
6581,1,1,115511
6591,1,1,115753
6601,1,1,115996
6611,1,1,116236
6621,1,1,116452
6631,1,1,116693
6641,1,1,116935
6651,1,1,117176
6661,1,1,117393
6671,1,1,117634
6681,1,1,117877
6691,1,1,118119
6701,1,1,118336
6711,1,1,118577
6721,1,1,118820
6731,1,1,119062
6742,1,1,119303
6751,1,1,119520
6761,1,1,119763
6771,1,1,120005
6781,1,1,120245
6791,1,1,120462
6801,1,1,120703
6811,1,1,120946
6821,1,1,121187
6831,1,1,121404
6841,1,1,121646
6851,1,1,121888
6861,1,1,122129
6871,1,1,122346
6881,1,1,122587
6891,1,1,122830
6901,1,1,123072
6912,1,1,123313
6921,1,1,123530
6931,1,1,123774
6941,1,1,124015
6951,1,1,124256
6961,1,1,124474
6971,1,1,124715
6981,1,1,124957
6991,1,1,125197
7001,1,1,125414
7011,1,1,125657
7021,1,1,125898
7031,1,1,126139
7041,1,1,126356
7051,1,1,126598
7061,1,1,126839
7071,1,1,127081
7081,1,1,127322
7091,1,1,127541
7101,1,1,127783
7111,1,1,128025
7121,1,1,128266
7131,1,1,128485
7141,1,1,128725
7151,1,1,128967
7161,1,1,129208
7171,1,1,129426
7181,1,1,129667
7191,1,1,129908
7201,1,1,130149
7211,1,1,130367
7221,1,1,130608
7231,1,1,130849
7241,1,1,131091
7251,1,1,131333
7261,1,1,131551
7271,1,1,131792
7281,1,1,132033
7291,1,1,132277
7301,1,1,132494
7311,1,1,132736
7321,1,1,132976
7331,1,1,133218
7341,1,1,133435
7351,1,1,133677
7361,1,1,133918
7371,1,1,134160
7382,1,1,134402
7391,1,1,134619
7401,1,1,134860
7411,1,1,135102
7421,1,1,135345
7431,1,1,135561
7441,1,1,135802
7451,1,1,136045
7461,1,1,136288
7471,1,1,136505
7481,1,1,136746
7491,1,1,136987
7501,1,1,137229
7511,1,1,137445
7521,1,1,137686
7531,1,1,137928
7541,1,1,138170
7552,1,1,138412
7561,1,1,138629
7571,1,1,138870
7581,1,1,139112
7591,1,1,139354
7601,1,1,139570
7611,1,1,139812
7621,1,1,140055
7631,1,1,140297
7641,1,1,140513
7651,1,1,140754
7661,1,1,140998
7671,1,1,141239
7681,1,1,141457
7691,1,1,141697
7701,1,1,141940
7711,1,1,142180
7721,1,1,142422
7731,1,1,142639
7741,1,1,142882
7751,1,1,143123
7761,1,1,143365
7771,1,1,143581
7781,1,1,143824
7791,1,1,144065
7801,1,1,144306
7811,1,1,144523
7821,1,1,144766
7831,1,1,145007
7841,1,1,145248
7851,1,1,145466
7861,1,1,145708
7871,1,1,145949
7881,1,1,146190
7891,1,1,146432
7901,1,1,146650
7911,1,1,146892
7921,1,1,147133
7931,1,1,147374
7941,1,1,147592
7951,1,1,147834
7961,1,1,148075
7971,1,1,148316
7981,1,1,148535
7991,1,1,148777
8001,1,1,149019
8011,1,1,149260
8022,1,1,149502
8031,1,1,149718
8041,1,1,149959
8051,1,1,150201
8061,1,1,150442
8071,1,1,150660
8081,1,1,150901
8091,1,1,151142
8101,1,1,151384
8111,1,1,151603
8121,1,1,151844
8131,1,1,152085
8141,1,1,152327
8151,1,1,152546
8161,1,1,152787
8171,1,1,153028
8181,1,1,153269
8192,1,1,153512
8201,1,1,153729
8211,1,1,153970
8221,1,1,154211
8231,1,1,154453
8241,1,1,154669
8251,1,1,154911
8261,1,1,155152
8271,1,1,155395
8281,1,1,155613
8291,1,1,155855
8301,1,1,156095
8311,1,1,156337
8321,1,1,156554
8331,1,1,156796
8341,1,1,157038
8351,1,1,157281
8361,1,1,157522
8371,1,1,157740
8381,1,1,157980
8391,1,1,158222
8401,1,1,158462
8411,1,1,158679
8421,1,1,158921
8431,1,1,159163
8441,1,1,159405
8451,1,1,159622
8461,1,1,159864
8471,1,1,160106
8481,1,1,160348
8491,1,1,160565
8501,1,1,160806
8511,1,1,161049
8521,1,1,161291
8531,1,1,161533
8541,1,1,161749
8551,1,1,161992
8561,1,1,162233
8571,1,1,162474
8581,1,1,162690
8591,1,1,162932
8601,1,1,163174
8611,1,1,163415
8621,1,1,163632
8631,1,1,163874
8641,1,1,164117
8651,1,1,164358
8662,1,1,164598
8671,1,1,164815
8681,1,1,165059
8691,1,1,165301
8701,1,1,165542
8711,1,1,165760
8721,1,1,166003
8731,1,1,166244
8741,1,1,166484
8751,1,1,166702
8761,1,1,166943
8771,1,1,167184
8781,1,1,167425
8791,1,1,167642
8801,1,1,167885
8811,1,1,168126
8821,1,1,168368
8832,1,1,168609
8841,1,1,168827
8851,1,1,169069
8861,1,1,169310
8871,1,1,169551
8881,1,1,169771
8891,1,1,170013
8901,1,1,170253
8911,1,1,170494
8921,1,1,170713
8931,1,1,170953
8941,1,1,171194
8951,1,1,171435
8961,1,1,171653
8971,1,1,171894
8981,1,1,172136
8991,1,1,172377
9001,1,1,172620
9011,1,1,172837
9021,1,1,173078
9031,1,1,173320
9041,1,1,173562
9051,1,1,173781
9061,1,1,174022
9071,1,1,174264
9081,1,1,174506
9091,1,1,174722
9101,1,1,174964
9111,1,1,175204
9121,1,1,175446
9131,1,1,175663
9141,1,1,175905
9151,1,1,176146
9161,1,1,176388
9171,1,1,176629
9181,1,1,176847
9191,1,1,177088
9201,1,1,177330
9211,1,1,177573
9221,1,1,177790
9231,1,1,178032
9241,1,1,178273
9251,1,1,178516
9261,1,1,178733
9271,1,1,178974
9281,1,1,179215
9291,1,1,179457
9302,1,1,179698
9311,1,1,179916
9321,1,1,180157
9331,1,1,180399
9341,1,1,180640
9351,1,1,180857
9361,1,1,181099
9371,1,1,181342
9381,1,1,181583
9391,1,1,181799
9401,1,1,182041
9411,1,1,182284
9421,1,1,182525
9431,1,1,182743
9441,1,1,182985
9451,1,1,183226
9461,1,1,183467
9472,1,1,183708
9481,1,1,183926
9491,1,1,184168
9501,1,1,184409
9511,1,1,184650
9521,1,1,184867
9531,1,1,185110
9541,1,1,185351
9551,1,1,185593
9561,1,1,185809
9571,1,1,186052
9581,1,1,186293
9591,1,1,186535
9601,1,1,186754
9611,1,1,186996
9621,1,1,187237
9631,1,1,187477
9641,1,1,187718
9651,1,1,187937
9661,1,1,188178
9671,1,1,188419
9681,1,1,188660
9691,1,1,188878
9701,1,1,189120
9711,1,1,189361
9721,1,1,189602
9731,1,1,189820
9741,1,1,190062
9751,1,1,190304
9761,1,1,190545
9771,1,1,190764
9781,1,1,191006
9791,1,1,191248
9801,1,1,191489
9811,1,1,191730
9821,1,1,191947
9831,1,1,192188
9841,1,1,192429
9851,1,1,192670
9861,1,1,192888
9871,1,1,193130
9881,1,1,193371
9891,1,1,193613
9901,1,1,193831
9911,1,1,194072
9921,1,1,194313
9931,1,1,194555
9942,1,1,194798
9951,1,1,195015
9961,1,1,195257
9971,1,1,195498
9981,1,1,195741
9991,1,1,195957
10001,1,1,196197
10011,1,1,196439
10021,1,1,196681
10031,1,1,196899
10041,1,1,197140
