timestamp,position,count,us_per_position
10808184,1936,1,-41
10809424,1906,1,-44
10810660,1878,1,-42
10811900,1849,1,-42
10813136,1820,1,-42
10814372,1791,1,-42
10815616,1762,1,-42
10816852,1733,1,-42
10818088,1704,1,-42
10819320,1675,1,-42
10820556,1646,1,-42
10821796,1617,1,-41
10823052,1587,1,-42
10824296,1558,1,-41
10825552,1528,1,-42
10826792,1499,1,-41
10828040,1469,1,-43
10829268,1441,1,-40
10830496,1411,1,-44
10831736,1383,1,-41
10832988,1353,1,-43
10834212,1325,1,-43
10835460,1296,1,-45
10836684,1269,1,-42
10837920,1240,1,-47
10839152,1214,1,-46
10840368,1188,1,-49
10841552,1164,1,-52
10842748,1141,1,-54
10843936,1119,1,-61
10845104,1100,1,-58
10846276,1080,1,-67
10847424,1063,1,-71
10848572,1047,1,-79
10849684,1033,1,-86
10850804,1020,1,-92
10851912,1008,1,-108
10853000,998,1,-114
10854144,988,1,-132
10855204,980,1,-151
10856264,973,1,-151
10857324,966,1,-174
10858372,960,1,-208
10859412,955,1,-256
10860436,951,1,-257
10861464,947,1,-258
10862496,943,1,-340
10863516,940,1,-258
10864548,936,1,-340
10865568,933,1,-506
10866580,931,1,-341
10867604,928,1,-506
10868616,926,1,-341
10869640,923,1,-506
10870652,921,1,-506
10871664,919,1,-506
10872676,917,1,-1004
10873680,916,1,-1056
10874736,915,1,-1056
10875792,914,1,-1056
10876848,913,1,-1056
10877904,912,1,-1056
10878960,911,1,-1072
10880032,910,1,-1056
10881088,909,3,-1092
10882180,908,144,-3360
10885540,907,117,-3016
10888556,906,87,-2520
10891076,905,50,-1904
10892980,904,25,-1492
10894472,903,1,-1068
10895540,902,1,-1064
10896604,901,150671,0
13303864,902,1,114
13305004,912,1,84
13306104,925,1,125
13307104,933,1,149
13308148,940,1,130
13309192,948,1,205
13310220,953,1,172
13311252,959,1,255
13312272,963,1,252
13313280,967,1,206
13314312,972,1,251
13315316,976,1,150
13316368,983,1,170
13317392,989,1,130
13318436,997,1,116
13319488,1006,1,97
13320560,1017,1,90
13321648,1029,1,90
13322732,1041,1,83
13323812,1054,1,84
13324904,1067,1,84
13325996,1080,1,79
13327104,1094,1,78
13328208,1108,1,84
13329300,1121,1,74
13330412,1136,1,74
13331528,1151,1,74
