timestamp,position,count,us_enc,enc/us
2939020,4408,1,145,0.006896552
2940040,4415,1,146,0.006849315
2941068,4422,1,149,0.006711409
2942116,4429,1,202,0.004950495
2943128,4434,1,202,0.004950495
2944140,4439,1,201,0.004975124
2945148,4444,1,204,0.004901961
2946172,4449,1,252,0.003968254
2947180,4453,1,253,0.003952569
2948192,4457,1,333,0.003003003
2949192,4460,1,334,0.002994012
2950196,4463,1,333,0.003003003
2951196,4466,1,330,0.003030303
2952188,4469,1,496,0.002016129
2953180,4471,1,984,0.00101626
2954164,4472,1,496,0.002016129
2955156,4474,1,988,0.001012146
2956144,4475,1,496,0.002016129
2957136,4477,1,992,0.001008065
2958128,4478,1,992,0.001008065
2959120,4479,1,496,0.002016129
2960112,4481,1,980,0.001020408
2961092,4482,1,992,0.001008065
2962084,4483,1,988,0.001012146
2963072,4484,1,992,0.001008065
2964064,4485,1,980,0.001020408
2965044,4486,28,1448,0.000690608
2966492,4487,27,1428,0.00070028
2967920,4488,1,1052,0.00095057
2968972,4489,1,1076,0.000929368
2970048,4490,1,1024,0.000976563
2971072,4491,1,1024,0.000976563
2972096,4492,14,1248,0.000801282
2973344,4493,130,3148,0.000317662
2976492,4494,324,6376,0.000156838
2982868,4495,88,2564,0.000390016
2985432,4496,18,1408,0.000710227
2986840,4497,5,1132,0.000883392
2987972,4498,3,1108,0.000902527
2989080,4499,1,1016,0.000984252
2990096,4500,952,-10000,-0.0001
3007796,4499,13,-268,-0.003731343
3008064,4498,1,-69,-0.014492754
3009376,4479,1,-61,-0.016393443
3010596,4459,1,-76,-0.013157895
3011664,4445,1,-71,-0.014084507
3012732,4430,1,-80,-0.0125
3013776,4417,1,-81,-0.012345679
3014840,4404,1,-76,-0.013157895
3015912,4390,1,-81,-0.012345679
3016968,4377,1,-72,-0.013888889
3018048,4362,1,-67,-0.014925373
3019120,4346,1,-66,-0.015151515
3020188,4330,1,-60,-0.016666667
3021276,4312,1,-57,-0.01754386
3022376,4293,1,-55,-0.018181818
3023484,4273,1,-51,-0.019607843
3024616,4251,1,-51,-0.019607843
3025744,4229,1,-49,-0.020408163
3026880,4206,1,-50,-0.02
3028032,4183,1,-45,-0.022222222
3029180,4158,1,-46,-0.02173913
3030300,4134,1,-48,-0.020833333
3031464,4110,1,-44,-0.022727273
3032624,4084,1,-46,-0.02173913
3033792,4059,1,-44,-0.022727273
3034960,4033,1,-44,-0.022727273
3036124,4007,1,-44,-0.022727273
3037288,3981,1,-44,-0.022727273
3038444,3955,1,-43,-0.023255814
3039584,3929,1,-43,-0.023255814
3040752,3902,1,-44,-0.022727273
3041944,3875,1,-44,-0.022727273
3043112,3849,1,-43,-0.023255814
3044280,3822,1,-41,-0.024390244
3045452,3794,1,-43,-0.023255814
3046616,3767,1,-44,-0.022727273
